German,English
antworten,to answer
(sich) anziehen,to get dressed
arbeiten,to work
aufhören,to end
aufhören,to end
aufstehen,to get up
aufstehen,to get up
ausfüllen,to fill out
ausmachen,to switch off
aussehen,to look
aussteigen,to alight
ausziehen,to take off
sich ausziehen,to get undressed
baden,to bathe
bedeuten,to mean
beginnen,to begin
bekommen,to receive
bekommen,to have
bekommen,to get
benutzen,to use
besichtigen,to visit
bestellen,to order
bestellen,to order
besuchen,to visit
bezahlen,to pay
bisschen,(a) little
bitten,to ask
bleiben,to stay
bleiben,to stay
brauchen,to need
bringen,to bring
bringen,to take
buchstabieren,to spell
daneben,next to it
danken,to thank
draußen,outside
drucken,to print
drücken,to press
dürfen,to be allowed
dürfen,to be allowed
dürfen,to be allowed
(sich) duschen,to shower
einkaufen,to go shopping
einladen,to invite / treat
einsteigen,to get on (board)
empfehlen,to recommend
enden,to end
entschuldigen,to excuse
erklären,to explain
erlauben,allow
erzählen,to tell
essen,to eat
fahren,to travel
fehlen,to be absent
fehlen,to be missing
fernsehen,to watch TV
finden,to find
fliegen,to fly
abfliegen,to depart (by air)
fragen,to ask
(sich) freuen,to look forward
frühstücken,to have breakfast
geben,to give
geboren,born
gefallen,to like
gegen,into
gegen,against
gegen,against
gehen,to work/function
gehen,to go
gehen,to go
gehen,to go
gehen,to be okay
gehören,to belong
gestorben,died
gewinnen,to win
glauben,to believe
glauben,to think
gratulieren,to congratulate
grillen,to (have a) barbecue
haben,to have
halten,to stop
heiraten,to marry
heißen,to be called
heißen,to be called
helfen,to help
hinten,at/in the back
holen,to fetch
hören,to listen
hören,to hear
kaufen,to buy
kennen,to know
kennenlernen,to get to know
kochen,to cook
kommen,to come
kommen,to come
können,to be able to
können,to be able to
kosten,to cost
kriegen,to get
lachen,to laugh
laufen,to walk/run
leben,to live
leben,to live
legen,to put
lernen,to learn
lesen,to read
lieben,to love
liegen,to lie
liegen,to lie / be located
machen,to do
machen,to make
machen,to come to
machen,…
mieten,to rent
mitbringen,to bring with one / to get (sth. for sb.)
mitkommen,to come with
mitmachen,to join in
mitnehmen,to take with
möchten,would like to
mögen,to like
morgen,tomorrow
müssen,to have to
nehmen,to have (food/drink)
nehmen,to take
oben,upstairs
öffnen,to open
Rad fahren,to cycle
rauchen,to smoke
regnen,to rain
reisen,to travel
reparieren,to repair
riechen,to smell
sagen,to say / tell
scheinen,to shine
schicken,to send
schlafen,to sleep
schließen,to close
geschlossen,closed
schmecken,to taste
schreiben,to write
schwimmen,to swim
sehen,to see
sehen,to see
sein,his
sein,to be
sein,to be
sitzen,to sit
sollen,should
sollen,should
spielen,to play
spielen,to play
sprechen,to speak
stehen,to be (written)
stehen,to be (located)
stellen,to put
studieren,to study
suchen,to look / search for
tanzen,to dance
telefonieren,to telephone
(sich) treffen,to meet
(sich) treffen,to meet
trinken,to drink
übernachten,to stay overnight
überweisen,to transfer
umziehen,to move (residence)
unten,at the bottom
unterschreiben,to sign
verboten,forbidden
verdienen,to earn
verkaufen,to sell
vermieten,to rent out
verstehen,to understand
(sich) vorstellen,to introduce
warten,to wait
warten,to wait
(sich) waschen,to wash
(sich) waschen,to wash
werden,to become
wiederholen,to repeat
willkommen,…
wissen,to know
wohnen,to live
wollen,to want
zahlen,to pay
zufrieden,happy
zusammen,together
zusammen,together
zwischen,between
zwischen,between
sieben,seven
"eine Million, -en",one million
"eine Milliarde, -en",one billion
(sich) waschen,to wash
